fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
09. Mrz;0.39;0.44;02. Jan;0.107;34;125;0.9978;Mrz 14;Jan 22;09. Mai;5
7;0.62;0.08;01. Aug;0.076;8;24;0.9978;Mrz 48;0.53;9;5
07. Sep;0.52;0.26;01. Sep;0.079;42;140;0.9964;Mrz 23;0.54;09. Mai;5
08. Jun;0.49;0.28;01. Sep;0.11;20;136;0.9972;Feb 93;Jan 95;09. Sep;6
08. Jun;0.49;0.29;2;0.11;19;133;0.9972;Feb 93;Jan 98;09. Aug;5
07. Jul;0.49;0.26;01. Sep;0.062;9;31;0.9966;Mrz 39;0.64;09. Jun;5
5;01. Feb;0.04;01. Apr;0.045;41;85;0.9938;Mrz 75;0.48;10. Mai;4
04. Jul;0.6;0.17;02. Mrz;0.058;17;106;0.9932;Mrz 85;0.6;12. Sep;6
06. Aug;0.775;0;3;0.102;8;23;0.9965;Mrz 45;0.56;10. Jul;5
7;0.5;0.25;2;0.07;3;22;0.9963;Mrz 25;0.63;09. Feb;5
07. Jun;0.9;0.06;02. Mai;0.079;5;10;0.9967;Mrz 39;0.56;09. Aug;5
08. Jan;0.545;0.18;01. Sep;0.08;13;35;0.9972;03. Mrz;0.59;9;6
08. Mrz;0.61;0.3;02. Jan;0.084;11;50;0.9972;03. Apr;0.61;10. Feb;6
07. Aug;0.5;0.3;01. Sep;0.075;8;22;0.9959;Mrz 31;0.56;10. Apr;6
08. Jan;0.545;0.18;01. Sep;0.08;13;35;0.9972;03. Mrz;0.59;9;6
08. Jan;0.575;0.22;02. Jan;0.077;12;65;0.9967;Mrz 29;0.51;09. Feb;5
07. Feb;0.49;0.24;02. Feb;0.07;5;36;0.996;Mrz 33;0.48;09. Apr;5
08. Jan;0.575;0.22;02. Jan;0.077;12;65;0.9967;Mrz 29;0.51;09. Feb;5
07. Aug;0.41;0.68;01. Jul;0.467;18;69;0.9973;03. Aug;Jan 31;09. Mrz;5
06. Feb;0.63;0.31;01. Jul;0.088;15;64;0.9969;Mrz 46;0.79;09. Mrz;5
8;0.33;0.53;02. Mai;0.091;18;80;0.9976;Mrz 37;0.8;09. Jun;6
08. Jan;0.785;0.52;2;0.122;37;153;0.9969;Mrz 21;0.69;09. Mrz;5
07. Aug;0.56;0.19;01. Aug;0.104;12;47;0.9964;Mrz 19;0.93;09. Mai;5
08. Apr;0.62;0.09;02. Feb;0.084;11;108;0.9964;Mrz 15;0.66;09. Aug;5
08. Apr;0.6;0.1;02. Feb;0.085;14;111;0.9964;Mrz 15;0.66;09. Aug;5
10. Jan;0.31;0.44;02. Mrz;0.08;22;46;0.9988;Mrz 32;0.67;09. Jul;6
07. Aug;0.56;0.19;01. Aug;0.104;12;47;0.9964;Mrz 19;0.93;09. Mai;5
09. Apr;0.4;0.31;02. Feb;0.09;13;62;0.9966;03. Jul;0.63;10. Mai;6
08. Mrz;0.54;0.28;01. Sep;0.077;11;40;0.9978;Mrz 39;0.61;10;6
07. Aug;0.56;0.12;2;0.082;7;28;0.997;Mrz 37;0.5;09. Apr;6
08. Aug;0.55;0.04;02. Feb;0.119;14;56;0.9962;Mrz 21;0.6;10. Sep;6
7;0.69;0.08;01. Aug;0.097;22;89;0.9959;Mrz 34;0.54;09. Feb;6
07. Mrz;01. Jul;0.09;01. Jul;0.178;10;89;0.9962;03. Mrz;0.57;9;5
08. Aug;0.55;0.04;02. Feb;0.119;14;56;0.9962;Mrz 21;0.6;10. Sep;6
07. Mrz;0.695;0;02. Mai;0.075;3;13;0.998;Mrz 49;0.52;09. Feb;5
8;0.71;0;02. Jun;0.08;11;34;0.9976;Mrz 44;0.53;09. Mai;5
07. Aug;0.5;0.17;01. Jun;0.082;21;102;0.996;Mrz 39;0.48;09. Mai;5
9;0.62;0.04;01. Sep;0.146;27;90;0.9984;Mrz 16;0.7;09. Apr;5
08. Feb;Jan 33;0;01. Jul;0.081;3;12;0.9964;Mrz 53;0.49;10. Sep;5
08. Jan;Jan 33;0;01. Aug;0.082;3;12;0.9964;Mrz 54;0.48;10. Sep;5
8;0.59;0.16;01. Aug;0.065;3;16;0.9962;Mrz 42;0.92;10. Mai;7
06. Jan;0.38;0.15;01. Aug;0.072;6;19;0.9955;Mrz 42;0.57;09. Apr;5
8;0.745;0.56;2;0.118;30;134;0.9968;Mrz 24;0.66;09. Apr;5
05. Jun;0.5;0.09;02. Mrz;0.049;17;99;0.9937;Mrz 63;0.63;13;5
05. Jun;0.5;0.09;02. Mrz;0.049;17;99;0.9937;Mrz 63;0.63;13;5
06. Jun;0.5;0.01;01. Mai;0.06;17;26;0.9952;03. Apr;0.58;09. Aug;6
07. Sep;01. Apr;0.05;02. Feb;0.084;13;29;0.9959;Mrz 22;0.55;09. Sep;6
08. Apr;0.745;0.11;01. Sep;0.09;16;63;0.9965;Mrz 19;0.82;09. Jun;5
08. Mrz;0.715;0.15;01. Aug;0.089;10;52;0.9968;Mrz 23;0.77;09. Mai;5
07. Feb;0.415;0.36;2;0.081;13;45;0.9972;Mrz 48;0.64;09. Feb;5
07. Aug;0.56;0.19;02. Jan;0.081;15;105;0.9962;Mrz 33;0.54;09. Mai;5
07. Aug;0.56;0.19;2;0.081;17;108;0.9962;Mrz 32;0.54;09. Mai;5
08. Apr;0.745;0.11;01. Sep;0.09;16;63;0.9965;Mrz 19;0.82;09. Jun;5
08. Mrz;0.715;0.15;01. Aug;0.089;10;52;0.9968;Mrz 23;0.77;09. Mai;5
05. Feb;0.34;0;01. Aug;0.05;27;63;0.9916;Mrz 68;0.79;14;6
06. Mrz;0.39;0.08;01. Jul;0.066;3;20;0.9954;Mrz 34;0.58;09. Apr;5
05. Feb;0.34;0;01. Aug;0.05;27;63;0.9916;Mrz 68;0.79;14;6
08. Jan;0.67;0.55;01. Aug;0.117;32;141;0.9968;Mrz 17;0.62;09. Apr;5
05. Aug;0.68;0.02;01. Aug;0.087;21;94;0.9944;Mrz 54;0.52;10;5
07. Jun;0.49;0.26;01. Jun;0.236;10;88;0.9968;03. Nov;0.8;09. Mrz;5
06. Sep;0.49;0.1;02. Mrz;0.074;12;30;0.9959;Mrz 42;0.58;10. Feb;6
08. Feb;0.4;0.44;02. Aug;0.089;11;43;0.9975;Mrz 53;0.61;10. Mai;6
07. Mrz;0.33;0.47;02. Jan;0.077;5;11;0.9958;Mrz 33;0.53;10. Mrz;6
09. Feb;0.52;1;03. Apr;0.61;32;69;0.9996;Feb 74;2.0;09. Apr;4
07. Mai;0.6;0.03;01. Aug;0.095;25;99;0.995;Mrz 35;0.54;10. Jan;5
07. Mai;0.6;0.03;01. Aug;0.095;25;99;0.995;Mrz 35;0.54;10. Jan;5
07. Jan;0.43;0.42;05. Mai;0.07;29;129;0.9973;Mrz 42;0.72;10. Mai;5
07. Jan;0.43;0.42;05. Mai;0.071;28;128;0.9973;Mrz 42;0.71;10. Mai;5
07. Jan;0.43;0.42;05. Mai;0.07;29;129;0.9973;Mrz 42;0.72;10. Mai;5
07. Jan;0.43;0.42;05. Mai;0.071;28;128;0.9973;Mrz 42;0.71;10. Mai;5
07. Jan;0.68;0;02. Feb;0.073;12;22;0.9969;Mrz 48;0.5;09. Mrz;5
06. Aug;0.6;0.18;01. Sep;0.079;18;86;0.9968;Mrz 59;0.57;09. Mrz;6
07. Jun;0.95;0.03;2;0.09;7;20;0.9959;03. Feb;0.56;09. Jun;5
07. Jun;0.68;0.02;01. Mrz;0.072;9;20;0.9965;Mrz 17;01. Aug;09. Feb;4
07. Aug;0.53;0.04;01. Jul;0.076;17;31;0.9964;Mrz 33;0.56;10;6
07. Apr;0.6;0.26;07. Mrz;0.07;36;121;0.9982;Mrz 37;0.49;09. Apr;5
07. Mrz;0.59;0.26;07. Feb;0.07;35;121;0.9981;Mrz 37;0.49;09. Apr;5
07. Aug;0.63;0.48;01. Jul;0.1;14;96;0.9961;Mrz 19;0.62;09. Mai;5
06. Aug;0.64;0.1;02. Jan;0.085;18;101;0.9956;Mrz 34;0.52;10. Feb;5
07. Mrz;0.55;0.03;01. Jun;0.072;17;42;0.9956;Mrz 37;0.48;9;4
06. Aug;0.63;0.07;02. Jan;0.089;11;44;0.9953;Mrz 47;0.55;10. Apr;6
07. Mai;0.705;0.24;01. Aug;0.36;15;63;0.9964;3;Jan 59;09. Mai;5
07. Sep;0.885;0.03;01. Aug;0.058;4;8;0.9972;Mrz 36;0.33;09. Jan;4
8;0.42;0.17;2;0.073;6;18;0.9972;Mrz 29;0.61;09. Feb;6
8;0.42;0.17;2;0.073;6;18;0.9972;Mrz 29;0.61;09. Feb;6
07. Apr;0.62;0.05;01. Sep;0.068;24;42;0.9961;Mrz 42;0.57;11. Mai;6
07. Mrz;0.38;0.21;2;0.08;7;35;0.9961;Mrz 33;0.47;09. Mai;5
06. Sep;0.5;0.04;01. Mai;0.085;19;49;0.9958;Mrz 35;0.78;09. Mai;5
07. Mrz;0.38;0.21;2;0.08;7;35;0.9961;Mrz 33;0.47;09. Mai;5
07. Mai;0.52;0.42;02. Mrz;0.087;8;38;0.9972;Mrz 58;0.61;10. Mai;6
7;0.805;0;02. Mai;0.068;7;20;0.9969;Mrz 48;0.56;09. Jun;5
08. Aug;0.61;0.14;02. Apr;0.067;10;42;0.9969;Mrz 19;0.59;09. Mai;5
08. Aug;0.61;0.14;02. Apr;0.067;10;42;0.9969;Mrz 19;0.59;09. Mai;5
08. Sep;0.61;0.49;2;0.27;23;110;0.9972;03. Dez;01. Feb;09. Mrz;5
07. Feb;0.73;0.02;02. Mai;0.076;16;42;0.9972;Mrz 44;0.52;09. Mrz;5
06. Aug;0.61;0.2;01. Aug;0.077;11;65;0.9971;Mrz 54;0.58;09. Mrz;5
06. Jul;0.62;0.21;01. Sep;0.079;8;62;0.997;Mrz 52;0.58;09. Mrz;6
08. Sep;0.31;0.57;2;0.111;26;85;0.9971;Mrz 26;0.53;09. Jul;5
07. Apr;0.39;0.48;2;0.082;14;67;0.9972;Mrz 34;0.55;09. Feb;5
07. Jul;0.705;0.1;02. Jun;0.084;9;26;0.9976;Mrz 39;0.49;09. Jul;5
07. Sep;0.5;0.33;2;0.084;15;143;0.9968;03. Feb;0.55;09. Mai;5
07. Sep;0.49;0.32;01. Sep;0.082;17;144;0.9968;03. Feb;0.55;09. Mai;5
08. Feb;0.5;0.35;02. Sep;0.077;21;127;0.9976;Mrz 23;0.62;09. Apr;5
06. Apr;0.37;0.25;01. Sep;0.074;21;49;0.9974;Mrz 57;0.62;09. Aug;6
06. Aug;0.63;0.12;03. Aug;0.099;16;126;0.9969;Mrz 28;0.61;09. Mai;5
07. Jun;0.55;0.21;02. Feb;0.071;7;28;0.9964;Mrz 28;0.55;09. Jul;5
07. Jun;0.55;0.21;02. Feb;0.071;7;28;0.9964;Mrz 28;0.55;09. Jul;5
07. Aug;0.59;0.33;2;0.074;24;120;0.9968;Mrz 25;0.54;09. Apr;5
07. Mrz;0.58;0.3;02. Apr;0.074;15;55;0.9968;Mrz 46;0.59;10. Feb;5
11. Mai;0.3;0.6;2;0.067;12;27;0.9981;03. Nov;0.97;10. Jan;6
05. Apr;0.835;0.08;01. Feb;0.046;13;93;0.9924;Mrz 57;0.85;13;7
06. Sep;01. Sep;0.06;02. Jan;0.061;12;31;0.9948;Mrz 51;0.43;11. Apr;4
09. Jun;0.32;0.47;01. Apr;0.056;9;24;0.99695;Mrz 22;0.82;10. Mrz;7
08. Aug;0.37;0.48;02. Jan;0.097;39;145;0.9975;03. Apr;01. Mrz;09. Mrz;5
06. Aug;0.5;0.11;01. Mai;0.075;16;49;0.99545;Mrz 36;0.79;09. Mai;5
7;0.42;0.35;01. Jun;0.088;16;39;0.9961;Mrz 34;0.55;09. Feb;5
7;0.43;0.36;01. Jun;0.089;14;37;0.99615;Mrz 34;0.56;09. Feb;6
12. Aug;0.3;0.74;02. Jun;0.095;9;28;0.9994;03. Feb;0.77;10. Aug;7
12. Aug;0.3;0.74;02. Jun;0.095;9;28;0.9994;03. Feb;0.77;10. Aug;7
07. Aug;0.57;0.31;01. Aug;0.069;26;120;0.99625;Mrz 29;0.53;09. Mrz;5
07. Aug;0.44;0.28;02. Jul;0.1;18;95;0.9966;Mrz 22;0.67;09. Apr;5
11;0.3;0.58;02. Jan;0.054;7;19;0.998;Mrz 31;0.88;10. Mai;7
09. Jul;0.53;0.6;2;0.039;5;19;0.99585;03. Mrz;0.86;12. Apr;6
8;0.725;0.24;02. Aug;0.083;10;62;0.99685;Mrz 35;0.56;10;6
11. Jun;0.44;0.64;02. Jan;0.059;5;15;0.998;Mrz 21;0.67;10. Feb;6
08. Feb;0.57;0.26;02. Feb;0.06;28;65;0.9959;03. Mrz;0.43;10. Jan;5
07. Aug;0.735;0.08;02. Apr;0.092;10;41;0.9974;Mrz 24;0.71;09. Aug;6
7;0.49;0.49;05. Jun;0.06;26;121;0.9974;Mrz 34;0.76;10. Mai;5
08. Jul;0.625;0.16;2;0.101;13;49;0.9962;Mrz 14;0.57;11;5
08. Jan;0.725;0.22;02. Feb;0.072;11;41;0.9967;Mrz 36;0.55;09. Jan;5
07. Mai;0.49;0.19;01. Sep;0.076;10;44;0.9957;Mrz 39;0.54;09. Jul;5
07. Aug;0.53;0.33;02. Apr;0.08;24;144;0.99655;03. Mrz;0.6;09. Mai;5
07. Aug;0.34;0.37;2;0.082;24;58;0.9964;Mrz 34;0.59;09. Apr;6
07. Apr;0.53;0.26;2;0.101;16;72;0.9957;Mrz 15;0.57;09. Apr;5
06. Aug;0.61;0.04;01. Mai;0.057;5;10;0.99525;Mrz 42;0.6;09. Mai;5
08. Jun;0.645;0.25;2;0.083;8;28;0.99815;Mrz 28;0.6;10;6
08. Apr;0.635;0.36;2;0.089;15;55;0.99745;Mrz 31;0.57;10. Apr;4
07. Jul;0.43;0.25;02. Jun;0.073;29;63;0.99615;Mrz 37;0.58;10. Mai;6
08. Sep;0.59;0.5;2;0.337;27;81;0.9964;03. Apr;Jan 61;09. Mai;6
9;0.82;0.14;02. Jun;0.089;9;23;0.9984;Mrz 39;0.63;09. Aug;5
07. Jul;0.43;0.25;02. Jun;0.073;29;63;0.99615;Mrz 37;0.58;10. Mai;6
06. Sep;0.52;0.25;02. Jun;0.081;10;37;0.99685;Mrz 46;0.5;11;5
05. Feb;0.48;0.04;01. Jun;0.054;19;106;0.9927;Mrz 54;0.62;12. Feb;7
8;0.38;0.06;01. Aug;0.078;12;49;0.99625;Mrz 37;0.52;09. Sep;6
08. Mai;0.37;0.2;02. Aug;0.09;18;58;0.998;Mrz 34;0.7;09. Jun;6
06. Sep;0.52;0.25;02. Jun;0.081;10;37;0.99685;Mrz 46;0.5;11;5
08. Feb;1;0.09;02. Mrz;0.065;7;37;0.99685;Mrz 32;0.55;9;6
07. Feb;0.63;0;01. Sep;0.097;14;38;0.99675;Mrz 37;0.58;9;6
07. Feb;0.63;0;01. Sep;0.097;14;38;0.99675;Mrz 37;0.58;9;6
07. Feb;0.645;0;01. Sep;0.097;15;39;0.99675;Mrz 37;0.58;09. Feb;6
07. Feb;0.63;0;01. Sep;0.097;14;38;0.99675;Mrz 37;0.58;9;6
08. Feb;1;0.09;02. Mrz;0.065;7;37;0.99685;Mrz 32;0.55;9;6
08. Sep;0.635;0.37;01. Jul;0.263;5;62;0.9971;3;01. Sep;09. Mrz;5
12;0.38;0.56;02. Jan;0.093;6;24;0.99925;Mrz 14;0.71;10. Sep;6
07. Jul;0.58;0.1;01. Aug;0.102;28;109;0.99565;03. Aug;0.49;09. Aug;6
15;0.21;0.44;02. Feb;0.075;10;24;100.005;03. Jul;0.84;09. Feb;7
15;0.21;0.44;02. Feb;0.075;10;24;100.005;03. Jul;0.84;09. Feb;7
07. Mrz;0.66;0;2;0.084;6;23;0.9983;Mrz 61;0.96;09. Sep;6
07. Jan;0.68;0.07;01. Sep;0.075;16;51;0.99685;Mrz 38;0.52;09. Mai;5
08. Feb;0.6;0.17;02. Mrz;0.072;11;73;0.9963;03. Feb;0.45;09. Mrz;5
07. Jul;0.53;0.06;01. Jul;0.074;9;39;0.99615;Mrz 35;0.48;09. Aug;6
07. Mrz;0.66;0;2;0.084;6;23;0.9983;Mrz 61;0.96;09. Sep;6
10. Aug;0.32;0.44;01. Jun;0.063;16;37;0.9985;Mrz 22;0.78;10;6
07. Jan;0.6;0;01. Aug;0.074;16;34;0.9972;Mrz 47;0.7;09. Sep;6
11. Jan;0.35;0.48;03. Jan;0.09;5;21;0.9986;Mrz 17;0.53;10. Mai;5
07. Jul;0.775;0.42;01. Sep;0.092;8;86;0.9959;Mrz 23;0.59;09. Mai;5
07. Jan;0.6;0;01. Aug;0.074;16;34;0.9972;Mrz 47;0.7;09. Sep;6
8;0.57;0.23;03. Feb;0.073;17;119;0.99675;Mrz 26;0.57;09. Mrz;5
09. Apr;0.34;0.37;02. Feb;0.075;5;13;0.998;Mrz 22;0.62;09. Feb;5
06. Jun;0.695;0;02. Jan;0.075;12;56;0.9968;Mrz 49;0.67;09. Feb;5
07. Jul;0.41;0.76;01. Aug;0.611;8;45;0.9968;03. Jun;Jan 26;09. Apr;5
10;0.31;0.47;02. Jun;0.085;14;33;0.99965;Mrz 36;0.8;10. Mai;7
07. Sep;0.33;0.23;01. Jul;0.077;18;45;0.99625;Mrz 29;0.65;09. Mrz;5
7;0.975;0.04;2;0.087;12;67;0.99565;Mrz 35;0.6;09. Apr;4
8;0.52;0.03;01. Jul;0.07;10;35;0.99575;Mrz 34;0.57;10;5
07. Sep;0.37;0.23;01. Aug;0.077;23;49;0.9963;Mrz 28;0.67;09. Mrz;5
12. Mai;0.56;0.49;02. Apr;0.064;5;27;0.9999;03. Aug;0.87;10. Sep;5
11. Aug;0.26;0.52;01. Aug;0.071;6;10;0.9968;03. Feb;0.72;10. Feb;7
08. Jan;0.87;0;03. Mrz;0.096;26;61;100.025;03. Jun;0.72;09. Aug;4
07. Sep;0.35;0.46;03. Jun;0.078;15;37;0.9973;Mrz 35;0.86;12. Aug;8
06. Sep;0.54;0.04;3;0.077;7;27;0.9987;Mrz 69;0.91;09. Apr;6
11. Mai;0.18;0.51;4;0.104;4;23;0.9996;Mrz 28;0.97;10. Jan;6
07. Sep;0.545;0.06;4;0.087;27;61;0.9965;Mrz 36;0.67;10. Jul;6
11. Mai;0.18;0.51;4;0.104;4;23;0.9996;Mrz 28;0.97;10. Jan;6
10. Sep;0.37;0.58;4;0.071;17;65;0.99935;Mrz 22;0.78;10. Jan;5
08. Apr;0.715;0.2;02. Apr;0.076;10;38;0.99735;Mrz 31;0.64;09. Apr;5
